
Host: REX

Timers On : Tue Mar 17 14:28:33 2026
Timers Off: Tue Mar 17 14:28:33 2026

Wall Time:        0.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: REX

Timers On : Tue Mar 17 15:02:09 2026
Timers Off: Tue Mar 17 15:02:55 2026

Wall Time:       45.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      1.438w     52 calls
build grid                          :      0.000u      0.000s      0.733w     52 calls
post-process grid                   :      0.000u      0.000s      0.701w     52 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.170w     52 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.393w    676 calls
DFH: initialize()                   :      0.000u      0.000s      1.350w     52 calls
DFH: AO Construction                :      0.000u      0.000s      0.139w     52 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.122w     52 calls
HF: Form core H                     :      0.000u      0.000s      0.152w     52 calls
HF: Form S/X                        :      0.000u      0.000s      0.010w     52 calls
HF: Guess                           :      0.000u      0.000s      2.326w     52 calls
SAD Guess                           :      0.000u      0.000s      2.290w     43 calls
HF: Form G                          :      0.000u      0.000s     18.591w    549 calls
RV: Form V                          :      0.000u      0.000s     18.086w    549 calls
Properties                          :     22.319p                         593115 calls
Functional                          :     42.547p                         593115 calls
V_xc                                :     17.169p                         541800 calls
JK: D                               :      0.000u      0.000s      0.003w    549 calls
JK: USO2AO                          :      0.000u      0.000s      0.015w    549 calls
JK: JK                              :      0.000u      0.000s      0.423w    549 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.421w    549 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    549 calls
DFH: compute_J                      :      0.000u      0.000s      0.055w    549 calls
DFH: compute_K                      :      0.000u      0.000s      0.262w    549 calls
JK: AO2USO                          :      0.000u      0.000s      0.018w    549 calls
HF: Form F                          :      0.000u      0.000s      0.003w    549 calls
HF: Form D                          :      0.000u      0.000s      0.003w    549 calls
HF: DIIS                            :      0.000u      0.000s      1.684w    506 calls
HF: Form C                          :      0.000u      0.000s      0.161w    506 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.026w     52 calls
Grad: S                             :      0.000u      0.000s      0.009w     52 calls
Grad: JK                            :      0.000u      0.000s      1.686w     52 calls
JKGrad: Amn                         :      0.000u      0.000s      0.422w     52 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     52 calls
JKGrad: AB                          :      0.000u      0.000s      0.491w     52 calls
JKGrad: UV                          :      0.000u      0.000s      0.034w     52 calls
JKGrad: ABx                         :      0.000u      0.000s      0.060w     52 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.536w     52 calls
Grad: XC                            :      0.000u      0.000s      3.702w     52 calls
V_xc gradient                       :      4.303p                          51315 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      1.438w     52 calls
| build grid                        :      0.000u      0.000s      0.733w     52 calls
| post-process grid                 :      0.000u      0.000s      0.701w     52 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.170w     52 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.116w     52 calls
DFH: initialize()                   :      0.000u      0.000s      1.350w     52 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.091w    260 calls
| DFH: AO Construction              :      0.000u      0.000s      0.139w     52 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.122w     52 calls
HF: Form core H                     :      0.000u      0.000s      0.152w     52 calls
HF: Form S/X                        :      0.000u      0.000s      0.010w     52 calls
HF: Guess                           :      0.000u      0.000s      2.326w     52 calls
| SAD Guess                         :      0.000u      0.000s      2.290w     43 calls
HF: Form G                          :      0.000u      0.000s     18.591w    549 calls
| RV: Form V                        :      0.000u      0.000s     18.086w    549 calls
| | Properties                      :     15.718p                         541800 calls
| | Functional                      :     38.952p                         541800 calls
| | V_xc                            :     17.169p                         541800 calls
| JK: D                             :      0.000u      0.000s      0.003w    549 calls
| JK: USO2AO                        :      0.000u      0.000s      0.015w    549 calls
| JK: JK                            :      0.000u      0.000s      0.423w    549 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.421w    549 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    549 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.055w    549 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.262w    549 calls
| JK: AO2USO                        :      0.000u      0.000s      0.018w    549 calls
HF: Form F                          :      0.000u      0.000s      0.003w    549 calls
HF: Form D                          :      0.000u      0.000s      0.003w    549 calls
HF: DIIS                            :      0.000u      0.000s      1.684w    506 calls
HF: Form C                          :      0.000u      0.000s      0.161w    506 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.026w     52 calls
Grad: S                             :      0.000u      0.000s      0.009w     52 calls
Grad: JK                            :      0.000u      0.000s      1.686w     52 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.422w     52 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.092w     52 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     52 calls
| JKGrad: AB                        :      0.000u      0.000s      0.491w     52 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.005w    208 calls
| JKGrad: UV                        :      0.000u      0.000s      0.034w     52 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.060w     52 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     52 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.536w     52 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.088w     52 calls
Grad: XC                            :      0.000u      0.000s      3.702w     52 calls
| Properties                        :      6.601p                          51315 calls
| Functional                        :      3.595p                          51315 calls
| V_xc gradient                     :      4.303p                          51315 calls

**************************************************************************************

Host: REX

Timers On : Tue Mar 17 17:29:28 2026
Timers Off: Tue Mar 17 17:29:28 2026

Wall Time:        0.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: REX

Timers On : Tue Mar 17 17:29:46 2026
Timers Off: Tue Mar 17 17:29:48 2026

Wall Time:        1.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.004w      1 calls
build grid                          :      0.000u      0.000s      0.002w      1 calls
post-process grid                   :      0.000u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.002w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.002w      3 calls
DFH: initialize()                   :      0.000u      0.000s      0.022w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.000w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      0.000u      0.000s      0.164w      8 calls
RV: Form V                          :      0.000u      0.000s      0.163w      8 calls
Properties                          :      0.000u      0.000s      0.020w   1672 calls
Functional                          :      0.000u      0.000s      0.119w   1672 calls
V_xc                                :      0.000u      0.000s      0.022w   1672 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.000w      8 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.000w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
